otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,basisOfRecord,typeStatus,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,identificationQualifier,identifiedBy,recordedBy,eventDate,associatedSequences,waterBody,locality,continent,country,stateProvince,decimalLatitude,decimalLongitude,delimitation,remarks
T078,49604,INPA,ICT,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,A. G. Bifi,D. A. Bastos & A. G. Bifi,2015-02-24,TBC,Negro,"Rio Negro, acima da ilha das Flores, SGC.",South America,Brazil,Amazonas,0.02908,-67.27429,nicoi.gr1,this study
T09841,182278,ANSP,NA,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,anthrax,"(Armbruster & Provenzano, 2000)",NA,M. H. Sabaj,M. H. Sabaj et al.,2005-03-03,TBC,Orinoco,Purchased from ornamental fisherman at site on R. Orinoco 60 km E of San Fernando de Atabapo (collected in vicinity),South America,Venezuela,Amazonas,3.973889,-67.16278,anthrax,this study
T09842,182278,ANSP,NA,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,anthrax,"(Armbruster & Provenzano, 2000)",NA,M. H. Sabaj,M. H. Sabaj et al.,2005-03-03,TBC,Orinoco,Purchased from ornamental fisherman at site on R. Orinoco 60 km E of San Fernando de Atabapo (collected in vicinity),South America,Venezuela,Amazonas,3.973889,-67.16278,anthrax,this study
T09870,185263,ANSP,NA,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,tigris,"(Armbruster & Provenzano, 2000)",NA,M. H. Sabaj,M. H. Sabaj et al.,2005-03-03,TBC,Orinoco,"Río Orinoco, 50 km east of San Fernando de Atabapo",South America,Venezuela,Amazonas,3.967222,-67.25333,tigris,this study
T09938,185263,ANSP,NA,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,tigris,"(Armbruster & Provenzano, 2000)",NA,M. H. Sabaj,M. H. Sabaj et al.,2005-03-03,TBC,Orinoco,"Río Orinoco, 50 km east of San Fernando de Atabapo",South America,Venezuela,Amazonas,3.967222,-67.25333,tigris,this study
T09949,185255,ANSP,NA,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,dumus,"(Armbruster & Provenzano, 2000)",NA,M. H. Sabaj,M. H. Sabaj et al.,2005-03-04,TBC,Orinoco,"Río Orinoco, 147 km southeast of San Fernando de Atabapo",South America,Venezuela,Amazonas,3.306667,-66.60333,dumus,this study
T09951,43267,AUM,Fish,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,dumus,"(Armbruster & Provenzano, 2000)",NA,N. K. Lujan,N. K. Lujan et al.,2005-03-04,TBC,Orinoco,"Río Orinoco, 147 km southeast of San Fernando de Atabapo",South America,Venezuela,Amazonas,3.306667,-66.60333,dumus,this study
T148,49832,INPA,ICT,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,A. G. Bifi,D. A. Bastos & A. G. Bifi,2015-02-28,TBC,"Negro, Miuá","Rio Miuá, pedral",South America,Brazil,Amazonas,-0.11323,-66.87389,nicoi.gr2,this study
T149,49832,INPA,ICT,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,A. G. Bifi,D. A. Bastos & A. G. Bifi,2015-02-28,TBC,"Negro, Miuá","Rio Miuá, pedral",South America,Brazil,Amazonas,-0.11323,-66.87389,nicoi.gr2,this study
T151,49832,INPA,ICT,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,A. G. Bifi,D. A. Bastos & A. G. Bifi,2015-02-28,TBC,"Negro, Miuá","Rio Miuá, pedral",South America,Brazil,Amazonas,-0.11323,-66.87389,nicoi.gr2,this study
T152,49832,INPA,ICT,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,A. G. Bifi,D. A. Bastos & A. G. Bifi,2015-02-28,TBC,"Negro, Miuá","Rio Miuá, pedral",South America,Brazil,Amazonas,-0.11323,-66.87389,nicoi.gr2,this study
T153,49832,INPA,ICT,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,A. G. Bifi,D. A. Bastos & A. G. Bifi,2015-02-28,TBC,"Negro, Miuá","Rio Miuá, pedral",South America,Brazil,Amazonas,-0.11323,-66.87389,nicoi.gr2,this study
